id_article,author,year
journals/apjor/FangC17,Yung-Ho Chiu,2017
journals/apjor/CuiSH20,Kaiyan Cui,2020
journals/apjor/CuiSH20,Zhanjie Song,2020
journals/apjor/CuiSH20,Ningning Han,2020
journals/apjor/TanWLF16,Qian-Yun Tan,2016
journals/apjor/TanWLF16,Cui-Ping Wei,2016
journals/apjor/TanWLF16,Qi Liu,2016
journals/apjor/TanWLF16,Xiang-Qian Feng,2016
journals/apjor/LiMX17,Guo Li 0001,2017
journals/apjor/LiMX17,Hui Mao,2017
journals/apjor/LiMX17,Lei Xiao,2017
journals/apjor/LiuWR15,Chun-an Liu,2015
journals/apjor/LiuWR15,Yuping Wang 0003,2015
journals/apjor/LiuWR15,Aihong Ren,2015
journals/apjor/XingFSZ15,Wenxun Xing,2015
journals/apjor/XingFSZ15,Shu-Cherng Fang,2015
journals/apjor/XingFSZ15,Ruey-Lin Sheu,2015
journals/apjor/XingFSZ15,Liping Zhang,2015
journals/apjor/QuCMY15,Xing-Long Qu,2015
journals/apjor/QuCMY15,Zhigang Cao 0002,2015
journals/apjor/QuCMY15,Yi-Fen Mu,2015
journals/apjor/QuCMY15,Xiao Guang Yang 0001,2015
journals/apjor/MirjaberiM16,Mahdi Mirjaberi,2016
journals/apjor/MirjaberiM16,Reza Kazemi Matin,2016
journals/apjor/HuWL19,Xuejun Hu,2019
journals/apjor/HuWL19,Jianjiang Wang,2019
journals/apjor/HuWL19,Kaijun Leng,2019
journals/apjor/GongZL17,Hua Gong,2017
journals/apjor/GongZL17,Ermei Zhang,2017
journals/apjor/GongZL17,Fang Liu 0015,2017
journals/apjor/WudhikarnCN15,Ratapol Wudhikarn,2015
journals/apjor/WudhikarnCN15,Nopasit Chakpitak,2015
journals/apjor/WudhikarnCN15,Gilles Neubert,2015
journals/apjor/Chen0ZZ20,Jian Chen,2020
journals/apjor/Chen0ZZ20,Michael C. Fu 0001,2020
journals/apjor/Chen0ZZ20,Wenhong Zhang,2020
journals/apjor/Chen0ZZ20,Junhua Zheng,2020
journals/apjor/DuLRLL19,Tao Du,2019
journals/apjor/DuLRLL19,Danyang Li,2019
journals/apjor/DuLRLL19,Yan Ren,2019
journals/apjor/DuLRLL19,Chong Lu,2019
journals/apjor/DuLRLL19,Wanquan Liu,2019
journals/apjor/WangWHLY0W19,Derui Wang,2019
journals/apjor/WangWHLY0W19,Yanfeng Wu,2019
journals/apjor/WangWHLY0W19,Jian-Qiang Hu,2019
journals/apjor/WangWHLY0W19,Miaomiao Liu,2019
journals/apjor/WangWHLY0W19,Peiwen Yu,2019
journals/apjor/WangWHLY0W19,Cheng Zhang 0001,2019
journals/apjor/WangWHLY0W19,Yan Wu,2019
journals/apjor/ShiL16,Ying Shi,2016
journals/apjor/ShiL16,Zhaotong Lian,2016
journals/apjor/TangMO17,Lixin Tang,2017
journals/apjor/TangMO17,Ilias Mamat,2017
journals/apjor/TangMO17,Tatsuo Oyama,2017
journals/apjor/YangHQZ17,Yuxiang Yang,2017
journals/apjor/YangHQZ17,Zuqing Huang,2017
journals/apjor/YangHQZ17,Qiang Patrick Qiang,2017
journals/apjor/YangHQZ17,Gengui Zhou,2017
journals/apjor/ZhangXL18,Cui-Hua Zhang,2018
journals/apjor/ZhangXL18,Peng Xing,2018
journals/apjor/ZhangXL18,Jin Li,2018
journals/apjor/DongCHG20,Xiaomei Dong,2020
